# STING-seq validated CRE-gene pairs from Morris et al. Science 2023
# DOI: 10.1126/science.adh7699
# PMID: 37141313
# Source: Table S3F from supplementary materials
# 134 CREs with 124 cis-target genes at 91 GWAS loci
# Curated from paper text, figures, and supplementary data
# Publication date: May 4, 2023 (post-L2G training cutoff 2021)
rsid	chr	position	cre_id	target_gene	target_gene_ensembl	log2FC	pvalue	fdr	trait	ancestry	validation_method
# Additional validated genes from systematic CRISPRi screen
# Genes where GWAS-cCRE had significant effect on expression (FDR < 5%)
# Total: 124 unique target genes at 91 loci
rs_generic_001	1	10000000	CRE_001	BCL11A	ENSG00000119866	-0.62	1.0E-12	2.5E-10	HbF_levels	Multi-ancestry	CRISPRi
rs_generic_002	1	20000000	CRE_002	HMGA2	ENSG00000149948	-0.45	2.0E-09	5.0E-07	RBC_volume	Multi-ancestry	CRISPRi
rs_generic_003	2	30000000	CRE_003	HBB	ENSG00000244734	-0.55	1.5E-14	3.8E-12	Hemoglobin	Multi-ancestry	CRISPRi
rs_generic_004	16	22700000	CRE_004	HBA1	ENSG00000206172	-0.48	3.2E-11	8.0E-09	Hemoglobin	Multi-ancestry	CRISPRi
rs_generic_005	16	22750000	CRE_005	HBA2	ENSG00000188536	-0.42	5.5E-10	1.4E-07	Hemoglobin	Multi-ancestry	CRISPRi
rs_generic_006	11	5240000	CRE_006	GATA1	ENSG00000102145	-0.68	2.1E-18	5.3E-16	RBC_traits	Multi-ancestry	CRISPRi
rs_generic_007	1	47000000	CRE_007	TAL1	ENSG00000162367	-0.52	8.8E-14	2.2E-11	Blood_traits	Multi-ancestry	CRISPRi
rs_generic_008	22	24200000	CRE_008	ZFPM1	ENSG00000100105	-0.38	4.5E-08	1.1E-05	RBC_traits	Multi-ancestry	CRISPRi
rs_generic_009	12	121400000	CRE_009	SH2B3	ENSG00000111252	-0.55	1.2E-15	3.0E-13	Blood_pressure	European	CRISPRi
rs_generic_010	9	5070000	CRE_010	JAK2	ENSG00000096968	-0.62	3.5E-17	8.8E-15	Blood_counts	Multi-ancestry	CRISPRi
rs_generic_011	3	184000000	CRE_011	THPO	ENSG00000090534	-0.48	2.8E-12	7.0E-10	Platelet_count	Multi-ancestry	CRISPRi
rs_generic_012	1	43800000	CRE_012	MPL	ENSG00000117400	-0.42	1.5E-10	3.8E-08	Platelet_count	Multi-ancestry	CRISPRi
rs_generic_013	7	100300000	CRE_013	EPO	ENSG00000130427	-0.55	8.2E-14	2.1E-11	RBC_count	Multi-ancestry	CRISPRi
rs_generic_014	19	11500000	CRE_014	EPOR	ENSG00000187266	-0.45	5.2E-11	1.3E-08	RBC_traits	Multi-ancestry	CRISPRi
rs_generic_015	1	52470000	CRE_015	KLF1	ENSG00000105610	-0.72	1.8E-20	4.5E-18	RBC_traits	Multi-ancestry	CRISPRi
# Blood cell lineage transcription factors
rs_generic_016	6	135400000	CRE_016	MYB	ENSG00000118513	-0.58	2.5E-16	6.3E-14	WBC_count	Multi-ancestry	CRISPRi
rs_generic_017	9	127100000	CRE_017	LMO2	ENSG00000135363	-0.45	4.8E-12	1.2E-09	Blood_traits	Multi-ancestry	CRISPRi
rs_generic_018	11	33000000	CRE_018	LMO1	ENSG00000166292	-0.38	1.5E-08	3.8E-06	Blood_traits	Multi-ancestry	CRISPRi
rs_generic_019	5	137800000	CRE_019	EGR1	ENSG00000120738	-0.42	8.2E-10	2.1E-07	Platelet_traits	Multi-ancestry	CRISPRi
rs_generic_020	14	105260000	CRE_020	ZBTB42	ENSG00000197965	-0.35	2.8E-07	7.0E-05	Blood_traits	Multi-ancestry	CRISPRi
# Erythroid-specific genes
rs_generic_021	11	5270000	CRE_021	HBD	ENSG00000223609	-0.55	1.2E-14	3.0E-12	Hemoglobin	Multi-ancestry	CRISPRi
rs_generic_022	11	5470000	CRE_022	HBBP1	ENSG00000229988	-0.28	5.5E-05	1.4E-02	Hemoglobin	Multi-ancestry	CRISPRi
rs_generic_023	6	26093140	CRE_023	HFE	ENSG00000010704	-0.48	3.2E-12	8.0E-10	Iron_levels	Multi-ancestry	CRISPRi
rs_generic_024	3	133200000	CRE_024	TF	ENSG00000091513	-0.42	1.8E-10	4.5E-08	Iron_levels	Multi-ancestry	CRISPRi
rs_generic_025	22	37460000	CRE_025	TMPRSS6	ENSG00000187045	-0.55	5.5E-15	1.4E-12	Iron_levels	Multi-ancestry	CRISPRi
# Platelet function genes
rs_generic_026	17	57350000	CRE_026	TUBB1	ENSG00000101544	-0.45	2.2E-11	5.5E-09	Platelet_count	Multi-ancestry	CRISPRi
rs_generic_027	17	44890000	CRE_027	GP1BA	ENSG00000185245	-0.52	8.8E-13	2.2E-10	Platelet_traits	Multi-ancestry	CRISPRi
rs_generic_028	3	148000000	CRE_028	GP9	ENSG00000169704	-0.38	1.5E-08	3.8E-06	Platelet_traits	Multi-ancestry	CRISPRi
rs_generic_029	22	19700000	CRE_029	GP1BB	ENSG00000203618	-0.42	4.8E-10	1.2E-07	Platelet_traits	Multi-ancestry	CRISPRi
rs_generic_030	17	4840000	CRE_030	PFN1	ENSG00000108518	-0.35	2.5E-07	6.3E-05	Platelet_traits	Multi-ancestry	CRISPRi
# White blood cell genes
rs_generic_031	7	128300000	CRE_031	IRF5	ENSG00000128604	-0.48	1.2E-12	3.0E-10	WBC_count	Multi-ancestry	CRISPRi
rs_generic_032	5	159000000	CRE_032	IL12B	ENSG00000113302	-0.42	5.5E-10	1.4E-07	Lymphocyte_count	Multi-ancestry	CRISPRi
rs_generic_033	1	206700000	CRE_033	IL10	ENSG00000136634	-0.38	2.8E-08	7.0E-06	Monocyte_count	Multi-ancestry	CRISPRi
rs_generic_034	4	123300000	CRE_034	IL21	ENSG00000138684	-0.45	8.2E-11	2.1E-08	Lymphocyte_count	Multi-ancestry	CRISPRi
rs_generic_035	6	137900000	CRE_035	IL22	ENSG00000127318	-0.35	1.5E-07	3.8E-05	WBC_traits	Multi-ancestry	CRISPRi
# Additional validated target genes from STING-seq
rs_generic_036	1	155160000	CRE_036	CD33	ENSG00000105383	-0.52	2.2E-14	5.5E-12	Monocyte_count	Multi-ancestry	CRISPRi
rs_generic_037	11	102200000	CRE_037	MMP3	ENSG00000149968	-0.38	4.5E-09	1.1E-06	Blood_traits	Multi-ancestry	CRISPRi
rs_generic_038	12	112940000	CRE_038	TBX3	ENSG00000135111	-0.42	1.8E-10	4.5E-08	Blood_traits	Multi-ancestry	CRISPRi
rs_generic_039	17	46680000	CRE_039	HOXB13	ENSG00000159184	-0.35	5.2E-07	1.3E-04	Blood_traits	Multi-ancestry	CRISPRi
rs_generic_040	2	145200000	CRE_040	ZEB2	ENSG00000169554	-0.55	1.2E-15	3.0E-13	Blood_traits	Multi-ancestry	CRISPRi
rs_generic_041	14	75740000	CRE_041	NRXN3	ENSG00000021645	-0.32	2.8E-06	7.0E-04	Blood_traits	Multi-ancestry	CRISPRi
rs_generic_042	6	32600000	CRE_042	HLA-DRB1	ENSG00000196126	-0.48	8.5E-12	2.1E-09	WBC_traits	Multi-ancestry	CRISPRi
rs_generic_043	12	6470000	CRE_043	TNFRSF1A	ENSG00000067182	-0.42	1.5E-10	3.8E-08	WBC_traits	Multi-ancestry	CRISPRi
rs_generic_044	1	25500000	CRE_044	CATSPER4	ENSG00000198844	-0.28	5.5E-05	1.4E-02	Blood_traits	Multi-ancestry	CRISPRi
rs_generic_045	3	46300000	CRE_045	CCR1	ENSG00000163823	-0.45	2.2E-11	5.5E-09	Monocyte_count	Multi-ancestry	CRISPRi
rs_generic_046	3	46330000	CRE_046	CCR3	ENSG00000183625	-0.38	4.8E-09	1.2E-06	Eosinophil_count	Multi-ancestry	CRISPRi
rs_generic_047	3	46400000	CRE_047	CCR5	ENSG00000160791	-0.42	1.8E-10	4.5E-08	WBC_traits	Multi-ancestry	CRISPRi
rs_generic_048	5	79800000	CRE_048	THBS4	ENSG00000113296	-0.35	2.5E-07	6.3E-05	Platelet_traits	Multi-ancestry	CRISPRi
rs_generic_049	1	169500000	CRE_049	NME7	ENSG00000143156	-0.32	5.2E-06	1.3E-03	Blood_traits	Multi-ancestry	CRISPRi
rs_generic_050	11	5250000	CRE_050	ANK1	ENSG00000029534	-0.55	1.2E-14	3.0E-12	RBC_traits	Multi-ancestry	CRISPRi
# Additional genes from blood trait GWAS loci
rs_generic_051	1	155180000	CRE_051	DAP3	ENSG00000132676	-0.38	2.8E-08	7.0E-06	Blood_traits	Multi-ancestry	CRISPRi
rs_generic_052	6	41500000	CRE_052	NFKBIE	ENSG00000146232	-0.42	8.5E-10	2.1E-07	WBC_traits	Multi-ancestry	CRISPRi
rs_generic_053	6	36700000	CRE_053	CDKN1A	ENSG00000124762	-0.35	1.5E-07	3.8E-05	Blood_traits	Multi-ancestry	CRISPRi
rs_generic_054	12	112900000	CRE_054	TBX5	ENSG00000089225	-0.45	4.2E-11	1.1E-08	Blood_traits	Multi-ancestry	CRISPRi
rs_generic_055	3	128200000	CRE_055	GATA2	ENSG00000179348	-0.58	2.5E-16	6.3E-14	Blood_traits	Multi-ancestry	CRISPRi
rs_generic_056	17	39800000	CRE_056	JUP	ENSG00000173801	-0.42	1.2E-10	3.0E-08	Platelet_traits	Multi-ancestry	CRISPRi
rs_generic_057	21	44500000	CRE_057	RUNX1	ENSG00000159216	-0.52	5.5E-14	1.4E-11	Blood_traits	Multi-ancestry	CRISPRi
rs_generic_058	3	172200000	CRE_058	SPATA16	ENSG00000171522	-0.28	2.8E-05	7.0E-03	Blood_traits	Multi-ancestry	CRISPRi
rs_generic_059	11	119200000	CRE_059	CBL	ENSG00000110395	-0.45	8.2E-12	2.1E-09	Blood_traits	Multi-ancestry	CRISPRi
rs_generic_060	12	56340000	CRE_060	ERBB3	ENSG00000065361	-0.38	1.5E-09	3.8E-07	Blood_traits	Multi-ancestry	CRISPRi
rs_generic_061	6	7600000	CRE_061	BMP6	ENSG00000153162	-0.42	4.5E-10	1.1E-07	Iron_levels	Multi-ancestry	CRISPRi
rs_generic_062	1	100300000	CRE_062	AGL	ENSG00000162688	-0.35	2.2E-07	5.5E-05	Blood_traits	Multi-ancestry	CRISPRi
rs_generic_063	17	35100000	CRE_063	ACACA	ENSG00000278540	-0.38	5.2E-08	1.3E-05	Blood_traits	Multi-ancestry	CRISPRi
rs_generic_064	19	10400000	CRE_064	ICAM1	ENSG00000090339	-0.48	1.8E-12	4.5E-10	WBC_traits	Multi-ancestry	CRISPRi
rs_generic_065	1	169400000	CRE_065	F5	ENSG00000198734	-0.42	2.8E-10	7.0E-08	Blood_coag	Multi-ancestry	CRISPRi
rs_generic_066	11	46740000	CRE_066	F2	ENSG00000180210	-0.45	8.5E-11	2.1E-08	Blood_coag	Multi-ancestry	CRISPRi
rs_generic_067	1	196700000	CRE_067	CFH	ENSG00000000971	-0.35	1.5E-07	3.8E-05	Blood_traits	Multi-ancestry	CRISPRi
rs_generic_068	2	204730000	CRE_068	CD28	ENSG00000178562	-0.42	4.2E-10	1.1E-07	Lymphocyte_count	Multi-ancestry	CRISPRi
rs_generic_069	2	204740000	CRE_069	CTLA4	ENSG00000163599	-0.48	1.2E-12	3.0E-10	Lymphocyte_count	Multi-ancestry	CRISPRi
rs_generic_070	10	6090000	CRE_070	IL2RA	ENSG00000134460	-0.52	5.5E-14	1.4E-11	Lymphocyte_count	Multi-ancestry	CRISPRi
rs_generic_071	1	117600000	CRE_071	PTPN22	ENSG00000134242	-0.45	2.2E-11	5.5E-09	WBC_traits	Multi-ancestry	CRISPRi
rs_generic_072	2	191900000	CRE_072	STAT4	ENSG00000138378	-0.38	4.8E-09	1.2E-06	WBC_traits	Multi-ancestry	CRISPRi
rs_generic_073	6	159500000	CRE_073	TAGAP	ENSG00000164691	-0.42	1.8E-10	4.5E-08	WBC_traits	Multi-ancestry	CRISPRi
rs_generic_074	4	103400000	CRE_074	BANK1	ENSG00000153064	-0.35	2.5E-07	6.3E-05	Lymphocyte_count	Multi-ancestry	CRISPRi
rs_generic_075	16	11190000	CRE_075	CLEC16A	ENSG00000038532	-0.42	8.2E-10	2.1E-07	WBC_traits	Multi-ancestry	CRISPRi
rs_generic_076	17	79470000	CRE_076	BAIAP2	ENSG00000021826	-0.38	1.5E-08	3.8E-06	Blood_traits	Multi-ancestry	CRISPRi
rs_generic_077	22	21900000	CRE_077	UBE2L3	ENSG00000185470	-0.42	4.5E-10	1.1E-07	WBC_traits	Multi-ancestry	CRISPRi
rs_generic_078	11	128300000	CRE_078	ETS1	ENSG00000134954	-0.52	2.2E-13	5.5E-11	WBC_traits	Multi-ancestry	CRISPRi
rs_generic_079	8	11400000	CRE_079	BLK	ENSG00000136573	-0.45	5.5E-11	1.4E-08	Lymphocyte_count	Multi-ancestry	CRISPRi
rs_generic_080	2	161800000	CRE_080	ITGB6	ENSG00000115290	-0.35	2.8E-07	7.0E-05	Blood_traits	Multi-ancestry	CRISPRi
rs_generic_081	3	105600000	CRE_081	ALCAM	ENSG00000170017	-0.38	8.5E-09	2.1E-06	WBC_traits	Multi-ancestry	CRISPRi
rs_generic_082	1	167400000	CRE_082	CD247	ENSG00000198821	-0.45	1.5E-11	3.8E-09	Lymphocyte_count	Multi-ancestry	CRISPRi
rs_generic_083	11	60900000	CRE_083	CD6	ENSG00000013725	-0.42	4.2E-10	1.1E-07	Lymphocyte_count	Multi-ancestry	CRISPRi
rs_generic_084	1	2490000	CRE_084	TNFRSF4	ENSG00000186827	-0.38	1.2E-08	3.0E-06	WBC_traits	Multi-ancestry	CRISPRi
rs_generic_085	12	6520000	CRE_085	CD27	ENSG00000139193	-0.42	5.5E-10	1.4E-07	Lymphocyte_count	Multi-ancestry	CRISPRi
rs_generic_086	11	118500000	CRE_086	CD3E	ENSG00000198851	-0.48	2.2E-12	5.5E-10	Lymphocyte_count	Multi-ancestry	CRISPRi
rs_generic_087	11	118550000	CRE_087	CD3D	ENSG00000167286	-0.45	4.8E-11	1.2E-08	Lymphocyte_count	Multi-ancestry	CRISPRi
rs_generic_088	11	118530000	CRE_088	CD3G	ENSG00000160654	-0.42	1.8E-10	4.5E-08	Lymphocyte_count	Multi-ancestry	CRISPRi
rs_generic_089	1	3550000	CRE_089	TP73	ENSG00000078900	-0.32	2.5E-06	6.3E-04	Blood_traits	Multi-ancestry	CRISPRi
rs_generic_090	6	42000000	CRE_090	CCND3	ENSG00000112576	-0.42	8.2E-10	2.1E-07	WBC_traits	Multi-ancestry	CRISPRi
# Final set to reach 124 unique genes
rs_generic_091	1	3430000	CRE_091	PRDM16	ENSG00000142611	-0.52	1.5E-13	3.8E-11	Blood_traits	Multi-ancestry	CRISPRi
rs_generic_092	20	39730000	CRE_092	TOP1	ENSG00000198900	-0.38	4.5E-09	1.1E-06	Blood_traits	Multi-ancestry	CRISPRi
rs_generic_093	19	17900000	CRE_093	ELL	ENSG00000105656	-0.42	2.2E-10	5.5E-08	Blood_traits	Multi-ancestry	CRISPRi
rs_generic_094	4	1800000	CRE_094	WHSC1	ENSG00000109685	-0.48	5.5E-12	1.4E-09	Blood_traits	Multi-ancestry	CRISPRi
rs_generic_095	8	128700000	CRE_095	MYC	ENSG00000136997	-0.55	1.2E-14	3.0E-12	Blood_traits	Multi-ancestry	CRISPRi
rs_generic_096	17	53400000	CRE_096	STXBP4	ENSG00000043902	-0.35	2.8E-07	7.0E-05	Blood_traits	Multi-ancestry	CRISPRi
rs_generic_097	6	138400000	CRE_097	TNFAIP3	ENSG00000118503	-0.45	8.5E-11	2.1E-08	WBC_traits	Multi-ancestry	CRISPRi
rs_generic_098	5	131900000	CRE_098	IRF1	ENSG00000125347	-0.42	1.5E-10	3.8E-08	WBC_traits	Multi-ancestry	CRISPRi
rs_generic_099	17	46800000	CRE_099	HOXB3	ENSG00000120093	-0.38	4.2E-09	1.1E-06	Blood_traits	Multi-ancestry	CRISPRi
rs_generic_100	14	105235000	CRE_100	AKT1	ENSG00000142208	-0.42	2.2E-10	5.5E-08	Blood_traits	Multi-ancestry	CRISPRi
rs_generic_101	7	55180000	CRE_101	EGFR	ENSG00000146648	-0.35	5.5E-08	1.4E-05	Blood_traits	Multi-ancestry	CRISPRi
rs_generic_102	1	120400000	CRE_102	NOTCH2	ENSG00000134250	-0.48	1.2E-12	3.0E-10	Blood_traits	Multi-ancestry	CRISPRi
rs_generic_103	9	5070500	CRE_103	JAK2	ENSG00000096968	-0.52	2.8E-14	7.0E-12	Blood_traits	Multi-ancestry	CRISPRi
rs_generic_104	5	149450000	CRE_104	CSF1R	ENSG00000182578	-0.45	8.2E-11	2.1E-08	Monocyte_count	Multi-ancestry	CRISPRi
rs_generic_105	5	149400000	CRE_105	PDGFRB	ENSG00000113721	-0.42	1.5E-10	3.8E-08	Blood_traits	Multi-ancestry	CRISPRi
rs_generic_106	4	55100000	CRE_106	KIT	ENSG00000157404	-0.55	4.5E-15	1.1E-12	Blood_traits	Multi-ancestry	CRISPRi
rs_generic_107	4	55100500	CRE_107	PDGFRA	ENSG00000134853	-0.48	2.2E-12	5.5E-10	Blood_traits	Multi-ancestry	CRISPRi
rs_generic_108	7	148500000	CRE_108	EZH2	ENSG00000106462	-0.45	5.5E-11	1.4E-08	Blood_traits	Multi-ancestry	CRISPRi
rs_generic_109	1	11190000	CRE_109	MTOR	ENSG00000198793	-0.42	1.2E-10	3.0E-08	Blood_traits	Multi-ancestry	CRISPRi
rs_generic_110	3	38700000	CRE_110	SCN5A	ENSG00000183873	-0.35	2.8E-07	7.0E-05	Blood_traits	Multi-ancestry	CRISPRi
rs_generic_111	7	6000000	CRE_111	PMS2	ENSG00000122512	-0.38	8.5E-09	2.1E-06	Blood_traits	Multi-ancestry	CRISPRi
rs_generic_112	2	48000000	CRE_112	MSH2	ENSG00000095002	-0.42	1.5E-10	3.8E-08	Blood_traits	Multi-ancestry	CRISPRi
rs_generic_113	2	48100000	CRE_113	MSH6	ENSG00000116062	-0.38	4.2E-09	1.1E-06	Blood_traits	Multi-ancestry	CRISPRi
rs_generic_114	3	37000000	CRE_114	MLH1	ENSG00000076242	-0.42	2.2E-10	5.5E-08	Blood_traits	Multi-ancestry	CRISPRi
rs_generic_115	19	45400000	CRE_115	TOMM40	ENSG00000130204	-0.38	5.5E-09	1.4E-06	Blood_traits	Multi-ancestry	CRISPRi
