locus_id	chr	pos_hg38	lead_snp	ensembl_id	gene_symbol	trait	evidence_class	mechanism_class	confidence	source	pubmed_id
ENSG00000145692_Betaine_16876394	5	79050946	rs16876394	ENSG00000145692	ENSG00000145692	Betaine	expert curated|expert curated	CODING	High	OpenTargets_2024	24816252.0
ENSG00000111181_Betaine_499368	12	211754	rs499368	ENSG00000111181	ENSG00000111181	Betaine	expert curated	CODING	High	OpenTargets_2024	24816252.0
ENSG00000113889_Bradykinin_5030062	3	186736391	rs5030062	ENSG00000113889	ENSG00000113889	Bradykinin	expert curated	CODING	High	OpenTargets_2024	24816252.0
ENSG00000164344_Bradykinin_4253311	4	186253529	rs4253311	ENSG00000164344	ENSG00000164344	Bradykinin	expert curated	CODING	High	OpenTargets_2024	24816252.0
ENSG00000122971_Butyrylcarnitine_2066938	12	120722812	rs2066938	ENSG00000122971	ENSG00000122971	Butyrylcarnitine	expert curated	CODING	High	OpenTargets_2024	24816252.0
CFH_C3f,_complement_C3_d_7535263	1	196713216	rs7535263	ENSG00000000971	CFH	C3f, complement C3 derived peptide	expert curated	CODING	High	OpenTargets_2024	24816252.0
ENSG00000166825_C3f,_complement_C3_d_2007084	15	89802104	rs2007084	ENSG00000166825	ENSG00000166825	C3f, complement C3 derived peptide	expert curated|expert curated	CODING	High	OpenTargets_2024	24816252.0
ENSG00000059573_Citrulline_56322409	10	95636205	rs56322409	ENSG00000059573	ENSG00000059573	Citrulline	expert curated	CODING	High	OpenTargets_2024	24816252.0
ENSG00000049319_cortolone_glucuronid_559555	2	31585905	rs559555	ENSG00000049319	ENSG00000049319	cortolone glucuronide	expert curated	CODING	High	OpenTargets_2024	24816252.0
ENSG00000100031_Cysteineglutathione__2330809	22	24606114	rs2330809	ENSG00000100031	ENSG00000100031	Cysteineglutathione disulfide	expert curated	CODING	High	OpenTargets_2024	24816252.0
ENSG00000171503_Decanoylcarnitine_8396	4	158709665	rs8396	ENSG00000171503	ENSG00000171503	Decanoylcarnitine	expert curated	CODING	High	OpenTargets_2024	24816252.0
ENSG00000117448_erythritol_7542172	1	46525009	rs7542172	ENSG00000117448	ENSG00000117448	erythritol	expert curated	CODING	High	OpenTargets_2024	24816252.0
ENSG00000140284_Ethyl_10-undecenoate_1365505	15	50184941	rs1365505	ENSG00000140284	ENSG00000140284	Ethyl 10-undecenoate / 	expert curated	CODING	High	OpenTargets_2024	24816252.0
ENSG00000175164_Fibrinopeptide_A_649129	9	133278860	rs649129	ENSG00000175164	ENSG00000175164	Fibrinopeptide A	expert curated	CODING	High	OpenTargets_2024	24816252.0
ENSG00000157184_Glutarylcarnitine_13375749	1	53230210	rs13375749	ENSG00000157184	ENSG00000157184	Glutarylcarnitine	expert curated	CODING	High	OpenTargets_2024	24816252.0
ENSG00000105607_Glutarylcarnitine_8012	19	12899706	rs8012	ENSG00000105607	ENSG00000105607	Glutarylcarnitine	expert curated	CODING	High	OpenTargets_2024	24816252.0
ENSG00000078070_hydroxyisovaleroyl_c_2270968	3	183037421	rs2270968	ENSG00000078070	ENSG00000078070	hydroxyisovaleroyl carnitine	expert curated	CODING	High	OpenTargets_2024	24816252.0
ENSG00000137198_Hypoxanthine_6459467	6	16287961	rs6459467	ENSG00000137198	ENSG00000137198	Hypoxanthine	expert curated	CODING	High	OpenTargets_2024	24816252.0
ENSG00000132437_Indoleacetic_acid_7809234	7	50542681	rs7809234	ENSG00000132437	ENSG00000132437	Indoleacetic acid	expert curated	CODING	High	OpenTargets_2024	24816252.0
ENSG00000171097_Indolelactic_acid_15676	9	128809748	rs15676	ENSG00000171097	ENSG00000171097	Indolelactic acid	expert curated	CODING	High	OpenTargets_2024	24816252.0
ENSG00000175003_isobutyrylcarnitine_662138	6	160143444	rs662138	ENSG00000175003	ENSG00000175003	isobutyrylcarnitine	expert curated	CODING	High	OpenTargets_2024	24816252.0
ENSG00000140374_isobutyrylcarnitine_2404602	15	76738451	rs2404602	ENSG00000140374	ENSG00000140374	isobutyrylcarnitine	expert curated	CODING	High	OpenTargets_2024	24816252.0
ENSG00000136143_Ketoleucine_4941615	13	47885766	rs4941615	ENSG00000136143	ENSG00000136143	Ketoleucine	expert curated	CODING	High	OpenTargets_2024	24816252.0
ENSG00000117054_L-Acetylcarnitine|He_4949874	1	75696204	rs4949874	ENSG00000117054	ENSG00000117054	L-Acetylcarnitine|Hexanoylcarnitine	expert curated	CODING	High	OpenTargets_2024	24816252.0
ENSG00000162174_L-Asparagine_3017098	11	62409471	rs3017098	ENSG00000162174	ENSG00000162174	L-Asparagine	expert curated	CODING	High	OpenTargets_2024	24816252.0
ENSG00000166183_L-Asparagine_2011069	14	104141731	rs2011069	ENSG00000166183	ENSG00000166183	L-Asparagine	expert curated	CODING	High	OpenTargets_2024	24816252.0
ENSG00000103257_L-Kynurenine_8051149	16	87845216	rs8051149	ENSG00000103257	ENSG00000103257	L-Kynurenine	expert curated	CODING	High	OpenTargets_2024	24816252.0
ENSG00000092621_L-Serine_1163251	1	119667132	rs1163251	ENSG00000092621	ENSG00000092621	L-Serine	expert curated	CODING	High	OpenTargets_2024	24816252.0
ENSG00000151790_L-Tryptophan_13122250	4	155887136	rs13122250	ENSG00000151790	ENSG00000151790	L-Tryptophan	expert curated	CODING	High	OpenTargets_2024	24816252.0
ENSG00000197375_L-Valine___Isovalery_272889	5	132329685	rs272889	ENSG00000197375	ENSG00000197375	L-Valine / Isovalerylcarnitine	expert curated	CODING	High	OpenTargets_2024	24816252.0
ENSG00000159445_Linoleic_acid___5,8-_6693388	1	151958169	rs6693388	ENSG00000159445	ENSG00000159445	Linoleic acid / 5,8-Tetradecadienoic acid	expert curated	CODING	High	OpenTargets_2024	24816252.0
ENSG00000007933_Methylcysteine_7061710	1	171111474	rs7061710	ENSG00000007933	ENSG00000007933	Methylcysteine	expert curated	CODING	High	OpenTargets_2024	24816252.0
ENSG00000105655_myo-Inositol_4808136	19	18508057	rs4808136	ENSG00000105655	ENSG00000105655	myo-Inositol	expert curated	CODING	High	OpenTargets_2024	24816252.0
ENSG00000099194_Myristic_acid___Myri_603424	10	100315722	rs603424	ENSG00000099194	ENSG00000099194	Myristic acid / Myristoleic acid	expert curated	CODING	High	OpenTargets_2024	24816252.0
ENSG00000002726_N-(3-acetamidopropyl_1005390	7	150846633	rs1005390	ENSG00000002726	ENSG00000002726	N-(3-acetamidopropyl)pyrrolidin-2-one	expert curated	CODING	High	OpenTargets_2024	24816252.0
ENSG00000148832_N-(3-acetamidopropyl_11101730	10	133383832	rs11101730	ENSG00000148832	ENSG00000148832	N-(3-acetamidopropyl)pyrrolidin-2-one	expert curated|expert curated	CODING	High	OpenTargets_2024	24816252.0
ENSG00000144035_N-Acetylornithine____13538	2	73641201	rs13538	ENSG00000144035	ENSG00000144035	N-Acetylornithine / myo-Inositol	expert curated	CODING	High	OpenTargets_2024	24816252.0
ENSG00000153086_N1-Methyl-4-pyridone_6430553	2	134873830	rs6430553	ENSG00000153086	ENSG00000153086	N1-Methyl-4-pyridone-3-carboxamide	expert curated|expert curated	CODING	High	OpenTargets_2024	24816252.0
ENSG00000115361_Nonanoylcarnitine_3738934	2	210009522	rs3738934	ENSG00000115361	ENSG00000115361	Nonanoylcarnitine	expert curated	CODING	High	OpenTargets_2024	24816252.0
ENSG00000093010_O-methylascorbate_4680	22	19963748	rs4680	ENSG00000093010	ENSG00000093010	O-methylascorbate	expert curated	CODING	High	OpenTargets_2024	24816252.0
ENSG00000100299_O-Sulfotyrosine_6151429	22	50625049	rs6151429	ENSG00000100299	ENSG00000100299	O-Sulfotyrosine	expert curated	CODING	High	OpenTargets_2024	24816252.0
ENSG00000138074_Pantothenic_acid_1395	2	27201768	rs1395	ENSG00000138074	ENSG00000138074	Pantothenic acid	expert curated	CODING	High	OpenTargets_2024	24816252.0
ENSG00000125166_Phenyllactic_acid____12709013	16	58795886	rs12709013	ENSG00000125166	ENSG00000125166	Phenyllactic acid / L-Phenylalanine	expert curated	CODING	High	OpenTargets_2024	24816252.0
ENSG00000163931_Phosphate___Erythron_4687717	3	53248172	rs4687717	ENSG00000163931	ENSG00000163931	Phosphate / Erythronic acid	expert curated	CODING	High	OpenTargets_2024	24816252.0
ENSG00000128928_Propionylcarnitine___9635324	15	40411012	rs9635324	ENSG00000128928	ENSG00000128928	Propionylcarnitine / Isovalerylcarnitine	expert curated	CODING	High	OpenTargets_2024	24816252.0
ENSG00000178814_Pyroglutamic_acid_12550729	8	144100505	rs12550729	ENSG00000178814	ENSG00000178814	Pyroglutamic acid	expert curated	CODING	High	OpenTargets_2024	24816252.0
ENSG00000105398_similar_to_5-Androst_2547231	19	47881800	rs2547231	ENSG00000105398	ENSG00000105398	similar to 5-Androstenediol	expert curated	CODING	High	OpenTargets_2024	24816252.0
ENSG00000172340_Succinylcarnitine_17806888	3	67365898	rs17806888	ENSG00000172340	ENSG00000172340	Succinylcarnitine	expert curated	CODING	High	OpenTargets_2024	24816252.0
ENSG00000187048_Undecylenic_acid___1_6678639	1	46866294	rs6678639	ENSG00000187048	ENSG00000187048	Undecylenic acid / 11-Hydroxy-9-tridecenoic acid	expert curated	CODING	High	OpenTargets_2024	24816252.0
ENSG00000158825_Uridine_532545	1	20588679	rs532545	ENSG00000158825	ENSG00000158825	Uridine	expert curated	CODING	High	OpenTargets_2024	24816252.0
ENSG00000183696_Uridine_2686796	7	48063314	rs2686796	ENSG00000183696	ENSG00000183696	Uridine	expert curated	CODING	High	OpenTargets_2024	24816252.0
ENSG00000025708_Uridine_131794	22	50533323	rs131794	ENSG00000025708	ENSG00000025708	Uridine	expert curated	CODING	High	OpenTargets_2024	24816252.0
ENSG00000107611_Cobalamin_1801222	10	17114152	rs1801222	ENSG00000107611	ENSG00000107611	Cobalamin	expert curated	CODING	High	OpenTargets_2024	25147783.0
ENSG00000118520_L-Arginine_2248551	6	131603549	rs2248551	ENSG00000118520	ENSG00000118520	L-Arginine	expert curated	CODING	High	OpenTargets_2024	25245031.0
ENSG00000109181_Cotinine_glucuronide_34100980	4	68807835	rs34100980	ENSG00000109181	ENSG00000109181	Cotinine glucuronide	expert curated	CODING	High	OpenTargets_2024	25293881.0
ENSG00000091513_Iron_8177240	3	133758857	rs8177240	ENSG00000091513	ENSG00000091513	Iron	expert curated	CODING	High	OpenTargets_2024	25352340.0
HFE_Iron_1800562	6	26092913	rs1800562	ENSG00000010704	HFE	Iron	expert curated	CODING	High	OpenTargets_2024	25352340.0
ENSG00000106327_Iron_7385804	7	100638347	rs7385804	ENSG00000106327	ENSG00000106327	Iron	expert curated	CODING	High	OpenTargets_2024	25352340.0
ENSG00000187045_Iron_855791	22	37066896	rs855791	ENSG00000187045	ENSG00000187045	Iron	expert curated	CODING	High	OpenTargets_2024	25352340.0
ENSG00000090661_Arachidic_acid_2100944	19	8216751	rs2100944	ENSG00000090661	ENSG00000090661	Arachidic acid	expert curated	CODING	High	OpenTargets_2024	25378659.0
ENSG00000111684_Oleic_Acid_2110073	12	6966719	rs2110073	ENSG00000111684	ENSG00000111684	Oleic Acid	expert curated	CODING	High	OpenTargets_2024	25500335.0
ENSG00000148218_Lead_1805313	9	113388911	rs1805313	ENSG00000148218	ENSG00000148218	Lead	expert curated	CODING	High	OpenTargets_2024	25820613.0
ENSG00000196660_Manganese_1776029	1	219906686	rs1776029	ENSG00000196660	ENSG00000196660	Manganese	expert curated	CODING	High	OpenTargets_2024	26025379.0
ENSG00000172296_Hydroxysphingomyelin_4814176	20	12978750	rs4814176	ENSG00000172296	ENSG00000172296	Hydroxysphingomyeline C24:1	expert curated	CODING	High	OpenTargets_2024	26068415.0
ENSG00000165449_L-Carnitine_1171614	10	59709780	rs1171614	ENSG00000165449	ENSG00000165449	L-Carnitine	expert curated	CODING	High	OpenTargets_2024	26068415.0
ENSG00000100033_L-Proline_2540641	22	18972171	rs2540641	ENSG00000100033	ENSG00000100033	L-Proline	expert curated	CODING	High	OpenTargets_2024	26068415.0
ENSG00000146733_L-Serine_4947534	7	56011401	rs4947534	ENSG00000146733	ENSG00000146733	L-Serine	expert curated	CODING	High	OpenTargets_2024	26068415.0
ENSG00000168389_LysoPC(16:0)_7529794	1	39937698	rs7529794	ENSG00000168389	ENSG00000168389	LysoPC(16:0)	expert curated	CODING	High	OpenTargets_2024	26068415.0
ENSG00000018510_PC(o-22:2(13Z,16Z)_2_7582179	2	177505903	rs7582179	ENSG00000018510	ENSG00000018510	PC(o-22:2(13Z,16Z)/22:3(10Z,13Z,16Z))	expert curated	CODING	High	OpenTargets_2024	26068415.0
ENSG00000151726_PC(o-22:2(13Z,16Z)_2_7700133	4	184852657	rs7700133	ENSG00000151726	ENSG00000151726	PC(o-22:2(13Z,16Z)/22:3(10Z,13Z,16Z))	expert curated	CODING	High	OpenTargets_2024	26068415.0
ENSG00000158201_Phosphatidyl_choline_7343008	18	21683167	rs7343008	ENSG00000158201	ENSG00000158201	Phosphatidyl choline PC(14:0/18:2(9Z,12Z)) is a specific example  	expert curated	CODING	High	OpenTargets_2024	26068415.0
ENSG00000113492_3-Aminoisobutanoic_a_37369	5	35037010	rs37369	ENSG00000113492	ENSG00000113492	3-Aminoisobutanoic acid	expert curated|expert curated	CODING	High	OpenTargets_2024	26352407.0
ENSG00000172482_alpha-Ketoisovaleric_6748734	2	240898035	rs6748734	ENSG00000172482	ENSG00000172482	alpha-Ketoisovaleric acid	expert curated	CODING	High	OpenTargets_2024	26352407.0
ENSG00000163817_Dimethylglycine___L-_17279437	3	45772602	rs17279437	ENSG00000163817	ENSG00000163817	Dimethylglycine / L-Alanine	expert curated	CODING	High	OpenTargets_2024	26352407.0
ENSG00000164089_Ethanolamine_56043887	4	108784811	rs56043887	ENSG00000164089	ENSG00000164089	Ethanolamine	expert curated	CODING	High	OpenTargets_2024	26352407.0
ENSG00000186335_Glycine___Citric_aci_3846710	5	151319245	rs3846710	ENSG00000186335	ENSG00000186335	Glycine / Citric acid	expert curated	CODING	High	OpenTargets_2024	26352407.0
ENSG00000093217_Glycolic_acid_3132440	3	38354071	rs3132440	ENSG00000093217	ENSG00000093217	Glycolic acid	expert curated	CODING	High	OpenTargets_2024	26352407.0
ENSG00000174358_L-Tyrosine_11750211	5	1183445	rs11750211	ENSG00000174358	ENSG00000174358	L-Tyrosine	expert curated|expert curated	CODING	High	OpenTargets_2024	26352407.0
ENSG00000158865_myo-Inositol_17702912	16	24991279	rs17702912	ENSG00000158865	ENSG00000158865	myo-Inositol	expert curated	CODING	High	OpenTargets_2024	26352407.0
ENSG00000158296_Succinic_acid___Citr_941206	20	46632402	rs941206	ENSG00000158296	ENSG00000158296	Succinic acid / Citric acid	expert curated	CODING	High	OpenTargets_2024	26352407.0
ENSG00000004809_acylcarnitine_measur_12210538	6	110438805	rs12210538	ENSG00000004809	ENSG00000004809	acylcarnitine measurement	expert curated	CODING	High	OpenTargets_2024	26401656.0
ENSG00000167701_L-Alanine___L-Aspara_750472	8	144476070	rs750472	ENSG00000167701	ENSG00000167701	L-Alanine / L-Asparagine	expert curated	CODING	High	OpenTargets_2024	26401656.0
ENSG00000095321_Methylmalonylcarniti_746872	9	129102748	rs746872	ENSG00000095321	ENSG00000095321	Methylmalonylcarnitine	expert curated	CODING	High	OpenTargets_2024	26401656.0
ENSG00000159267_Similar_to_3-Hydroxy_1571700	21	36964534	rs1571700	ENSG00000159267	ENSG00000159267	Similar to 3-Hydroxyisovalerylcarnitine	expert curated	CODING	High	OpenTargets_2024	26401656.0
ENSG00000255974_ratio_of_Hydroxycoti_56113850	19	40847202	rs56113850	ENSG00000255974	ENSG00000255974	ratio of Hydroxycotinine to Cotinine	expert curated	CODING	High	OpenTargets_2024	26407342.0
ENSG00000141485_Citric_acid_172642	17	6692079	rs172642	ENSG00000141485	ENSG00000141485	Citric acid	expert curated	CODING	High	OpenTargets_2024	27005778.0
ENSG00000100075_Citric_acid_2040771	22	19174422	rs2040771	ENSG00000100075	ENSG00000100075	Citric acid	expert curated	CODING	High	OpenTargets_2024	27005778.0
ENSG00000021826_Glycine_1047891	2	210675783	rs1047891	ENSG00000021826	ENSG00000021826	Glycine	expert curated	CODING	High	OpenTargets_2024	27005778.0
ENSG00000178445_Glycine_140348140	9	5877295	rs140348140	ENSG00000178445	ENSG00000178445	Glycine	expert curated	CODING	High	OpenTargets_2024	27005778.0
ENSG00000140905_Glycine_10083777	16	81031677	rs10083777	ENSG00000140905	ENSG00000140905	Glycine	expert curated	CODING	High	OpenTargets_2024	27005778.0
ENSG00000139209_L-Alanine_4554975	12	46808031	rs4554975	ENSG00000139209	ENSG00000139209	L-Alanine	expert curated|expert curated	CODING	High	OpenTargets_2024	27005778.0
ENSG00000135423_L-Glutamine_2657879	12	56471554	rs2657879	ENSG00000135423	ENSG00000135423	L-Glutamine	expert curated	CODING	High	OpenTargets_2024	27005778.0
ENSG00000084110_L-Histidine_7954638	12	95921017	rs7954638	ENSG00000084110	ENSG00000084110	L-Histidine	expert curated	CODING	High	OpenTargets_2024	27005778.0
ENSG00000171759_L-Phenylalanine_1718309	12	102848618	rs1718309	ENSG00000171759	ENSG00000171759	L-Phenylalanine	expert curated	CODING	High	OpenTargets_2024	27005778.0
ENSG00000112394_L-Tyrosine_14399	6	111222741	rs14399	ENSG00000112394	ENSG00000112394	L-Tyrosine	expert curated	CODING	High	OpenTargets_2024	27005778.0
ENSG00000163644_L-Valine_9637599	4	88285078	rs9637599	ENSG00000163644	ENSG00000163644	L-Valine	expert curated	CODING	High	OpenTargets_2024	27005778.0
ENSG00000090857_Pyruvic_acid_74249229	16	69945368	rs74249229	ENSG00000090857	ENSG00000090857	Pyruvic acid	expert curated	CODING	High	OpenTargets_2024	27005778.0
PCSK9_coronary_artery_dise_nan	1	55030366		ENSG00000169174	PCSK9	coronary artery disease	drug	CODING	High	OpenTargets_2024	26343387.0
PCSK9_cardiovascular_syste_nan	1	55039974		ENSG00000169174	PCSK9	cardiovascular system disease	drug	CODING	High	OpenTargets_2024	30595370.0
ENSG00000116824_psoriasis_nan	1	116744732		ENSG00000116824	ENSG00000116824	psoriasis	drug	CODING	High	OpenTargets_2024	23143594.0
ENSG00000169418_cardiovascular_syste_nan	1	153689947		ENSG00000169418	ENSG00000169418	cardiovascular system disease	drug	CODING	High	OpenTargets_2024	30595370.0
ENSG00000169418_hypertension_nan	1	153689947		ENSG00000169418	ENSG00000169418	hypertension	drug	CODING	High	OpenTargets_2024	
ENSG00000160712_rheumatoid_arthritis_nan	1	154454494		ENSG00000160712	ENSG00000160712	rheumatoid arthritis	drug	CODING	High	OpenTargets_2024	24390342.0
ENSG00000082482_hypertension_nan	1	215131342		ENSG00000082482	ENSG00000082482	hypertension	drug	CODING	High	OpenTargets_2024	
ENSG00000133019_chronic_obstructive__nan	1	239737706		ENSG00000133019	ENSG00000133019	chronic obstructive pulmonary disease	drug	CODING	High	OpenTargets_2024	30804561.0
ENSG00000043591_hypertension_nan	10	113963919		ENSG00000043591	ENSG00000043591	hypertension	drug	CODING	High	OpenTargets_2024	
ENSG00000043591_cardiovascular_syste_nan	10	114045297		ENSG00000043591	ENSG00000043591	cardiovascular system disease	drug	CODING	High	OpenTargets_2024	30595370.0
ENSG00000180210_pulmonary_embolism_nan	11	46684189		ENSG00000180210	ENSG00000180210	pulmonary embolism	drug	CODING	High	OpenTargets_2024	
ENSG00000180210_venous_thromboemboli_nan	11	46739206		ENSG00000180210	ENSG00000180210	venous thromboembolism	drug	CODING	High	OpenTargets_2024	28373160.0
ENSG00000180210_cardiovascular_syste_nan	11	46739505		ENSG00000180210	ENSG00000180210	cardiovascular system disease	drug	CODING	High	OpenTargets_2024	
