study_id	trait	study_locus_id	region	chromosome	position	gene_id	gene_symbol	l2g_score
GCST006612	LDL cholesterol	62d6bce8e4335f028fe8b4b3b67be031		7	25952206	ENSG00000122566	HNRNPA2B1	0.06600290536880493
GCST006612	LDL cholesterol	b40ba9d318285b014d8cb354702e3387		5	156972028	ENSG00000145850	TIMD4	0.9507877230644226
GCST006612	LDL cholesterol	b5ecaf54d464a44b29fe58e335b94644		14	70380407	ENSG00000213463	SYNJ2BP	0.5506243109703064
GCST006612	LDL cholesterol	b5ecaf54d464a44b29fe58e335b94644		14	70380407	ENSG00000133983	COX16	0.21969355642795563
GCST006612	LDL cholesterol	662010a31b39229037b704187ae883b4		21	39202379	ENSG00000183527	PSMG1	0.4104805290699005
GCST006612	LDL cholesterol	662010a31b39229037b704187ae883b4		21	39202379	ENSG00000185658	BRWD1	0.22841133177280426
GCST006612	LDL cholesterol	662010a31b39229037b704187ae883b4		21	39202379	ENSG00000205581	HMGN1	0.07742960751056671
GCST006612	LDL cholesterol	662010a31b39229037b704187ae883b4		21	39202379	ENSG00000157578	LCA5L	0.06754197925329208
GCST006612	LDL cholesterol	fc9df2f981af7cd5baa847080be7aed4		12	120978847	ENSG00000135100	HNF1A	0.9068809747695923
GCST006612	LDL cholesterol	fc9df2f981af7cd5baa847080be7aed4		12	120978847	ENSG00000157895	C12orf43	0.054104018956422806
GCST006612	LDL cholesterol	6b0f3c09fc6df50f45248726f065c87c		7	44542387	ENSG00000015520	NPC1L1	0.8389341831207275
GCST006612	LDL cholesterol	6b0f3c09fc6df50f45248726f065c87c		7	44542387	ENSG00000158604	TMED4	0.08346668630838394
GCST006612	LDL cholesterol	6b0f3c09fc6df50f45248726f065c87c		7	44542387	ENSG00000015676	NUDCD3	0.06167445331811905
GCST006612	LDL cholesterol	c01174e1c9bcf0c654dcd25aae11a578		3	12230418	ENSG00000132170	PPARG	0.3330775201320648
GCST006612	LDL cholesterol	c01174e1c9bcf0c654dcd25aae11a578		3	12230418	ENSG00000157150	TIMP4	0.23680931329727173
GCST006612	LDL cholesterol	c01174e1c9bcf0c654dcd25aae11a578		3	12230418	ENSG00000157152	SYN2	0.09453749656677246
GCST006612	LDL cholesterol	1fbe4f94c72b67d33046bb5b25374aa5		1	234721929	ENSG00000168264	IRF2BP2	0.24325203895568848
GCST006612	LDL cholesterol	1fbe4f94c72b67d33046bb5b25374aa5		1	234721929	ENSG00000059588	TARBP1	0.09933306276798248
GCST006612	LDL cholesterol	d4546809ebf56a8bb554559c3b2ff7af		17	18222563	ENSG00000131899	LLGL1	0.2258697897195816
GCST006612	LDL cholesterol	d4546809ebf56a8bb554559c3b2ff7af		17	18222563	ENSG00000091536	MYO15A	0.18600165843963623
GCST006612	LDL cholesterol	d4546809ebf56a8bb554559c3b2ff7af		17	18222563	ENSG00000176974	SHMT1	0.07712230831384659
GCST006612	LDL cholesterol	d4546809ebf56a8bb554559c3b2ff7af		17	18222563	ENSG00000177427	MIEF2	0.06810114532709122
GCST006612	LDL cholesterol	d4546809ebf56a8bb554559c3b2ff7af		17	18222563	ENSG00000091542	ALKBH5	0.060094352811574936
GCST006612	LDL cholesterol	afa017a322a232ad05ee810c610c5925		19	2814183	ENSG00000172009	THOP1	0.6464662551879883
GCST006612	LDL cholesterol	afa017a322a232ad05ee810c610c5925		19	2814183	ENSG00000172006	ZNF554	0.521064281463623
GCST006612	LDL cholesterol	afa017a322a232ad05ee810c610c5925		19	2814183	ENSG00000104969	SGTA	0.1469578742980957
GCST006612	LDL cholesterol	f223c6ddb3a953e3723da419e99731c3		2	17295273	ENSG00000214842	RAD51AP2	0.3579939305782318
GCST006612	LDL cholesterol	f223c6ddb3a953e3723da419e99731c3		2	17295273	ENSG00000163032	VSNL1	0.30859804153442383
GCST006612	LDL cholesterol	f223c6ddb3a953e3723da419e99731c3		2	17295273	ENSG00000163029	SMC6	0.05105406045913696
GCST006612	LDL cholesterol	8225fe50313b0aa8f15038e575254c8c		1	18481798	ENSG00000179023	KLHDC7A	0.9001243710517883
GCST006612	LDL cholesterol	7cfa180e15d3ed8660e6df1323adcb05		20	35578178	ENSG00000125991	ERGIC3	0.6294570565223694
GCST006612	LDL cholesterol	7cfa180e15d3ed8660e6df1323adcb05		20	35578178	ENSG00000214078	CPNE1	0.17209114134311676
GCST006612	LDL cholesterol	7cfa180e15d3ed8660e6df1323adcb05		20	35578178	ENSG00000061656	SPAG4	0.123462975025177
GCST006612	LDL cholesterol	7cfa180e15d3ed8660e6df1323adcb05		20	35578178	ENSG00000125975	C20orf173	0.08204586058855057
GCST006612	LDL cholesterol	7978106fdba9a5a6da1ff8e821b99de6		17	66214462	ENSG00000091583	APOH	0.9747777581214905
GCST006612	LDL cholesterol	55cf73bde5e682b4190313acd185be1a		10	112173248	ENSG00000119927	GPAM	0.8659734725952148
GCST006612	LDL cholesterol	716d25ad39b0c991026b0c0333a4db10		18	49583585	ENSG00000101670	LIPG	0.9101004600524902
GCST006612	LDL cholesterol	c2434be1f65af977f5ec594eb5ec4a75		17	69085137	ENSG00000154262	ABCA6	0.8971921801567078
GCST006612	LDL cholesterol	e01907b39f65d16a282b8665f69fb0a3		10	17226840	ENSG00000026025	VIM	0.847311794757843
GCST006612	LDL cholesterol	e01907b39f65d16a282b8665f69fb0a3		10	17226840	ENSG00000107614	TRDMT1	0.22788913547992706
GCST006612	LDL cholesterol	594d37aa6eb4a1078db8e61d7d9ebb16		3	122507440	ENSG00000114030	KPNA1	0.8281075954437256
GCST006612	LDL cholesterol	594d37aa6eb4a1078db8e61d7d9ebb16		3	122507440	ENSG00000138496	PARP9	0.273563951253891
GCST006612	LDL cholesterol	594d37aa6eb4a1078db8e61d7d9ebb16		3	122507440	ENSG00000163840	DTX3L	0.06418514996767044
GCST006612	LDL cholesterol	0c908e4d64ad3619ab035e0ec560fffe		1	10496390	ENSG00000142655	PEX14	0.8247111439704895
GCST006612	LDL cholesterol	0c908e4d64ad3619ab035e0ec560fffe		1	10496390	ENSG00000160049	DFFA	0.21894468367099762
GCST006612	LDL cholesterol	0c908e4d64ad3619ab035e0ec560fffe		1	10496390	ENSG00000175279	CENPS	0.05061321333050728
GCST006612	LDL cholesterol	0037495c55dc02194800cb196fdf80d0		11	122634009	ENSG00000154127	UBASH3B	0.8400866389274597
GCST006612	LDL cholesterol	7fd2ac9fca492d764befea43cde22ea8		7	87447271	ENSG00000005471	ABCB4	0.8581538200378418
GCST006612	LDL cholesterol	9e2628e22f27fe9df9f678c51c3cda88		4	68475769	ENSG00000087128	TMPRSS11E	0.8566168546676636
GCST006612	LDL cholesterol	ea8e13430029a8aff7ce0ad57746ae7b		22	37066896	ENSG00000187045	TMPRSS6	0.4009467661380768
GCST006612	LDL cholesterol	ea8e13430029a8aff7ce0ad57746ae7b		22	37066896	ENSG00000100379	KCTD17	0.09565288573503494
GCST006612	LDL cholesterol	737054f39084d803b2c915526faa388b		7	2256917	ENSG00000106266	SNX8	0.9017691016197205
GCST006612	LDL cholesterol	737054f39084d803b2c915526faa388b		7	2256917	ENSG00000106268	NUDT1	0.08423441648483276
GCST006612	LDL cholesterol	7a5a154e018e255c3be3858c64533c5a		6	160589086	ENSG00000198670	LPA	0.6906981468200684
GCST006612	LDL cholesterol	7a5a154e018e255c3be3858c64533c5a		6	160589086	ENSG00000122194	PLG	0.350871741771698
GCST006612	LDL cholesterol	20d4f8a1647014fc4119898b0044562c		1	62641855	ENSG00000132855	ANGPTL3	0.6801005601882935
GCST006612	LDL cholesterol	20d4f8a1647014fc4119898b0044562c		1	62641855	ENSG00000116641	DOCK7	0.28128331899642944
GCST006612	LDL cholesterol	20d4f8a1647014fc4119898b0044562c		1	62641855	ENSG00000162607	USP1	0.15117739140987396
GCST006612	LDL cholesterol	0d7a154e568fc93369eed99070d9f41b		16	11537712	ENSG00000189067	LITAF	0.4290345013141632
GCST006612	LDL cholesterol	0d7a154e568fc93369eed99070d9f41b		16	11537712	ENSG00000188897	ENSG00000188897	0.3089967668056488
GCST006612	LDL cholesterol	d9cd7058c2c6b3250b7c3890f7db85b5		3	160368267	ENSG00000113810	SMC4	0.4505116045475006
GCST006612	LDL cholesterol	d9cd7058c2c6b3250b7c3890f7db85b5		3	160368267	ENSG00000213186	TRIM59	0.2220706343650818
GCST006612	LDL cholesterol	d9cd7058c2c6b3250b7c3890f7db85b5		3	160368267	ENSG00000068885	IFT80	0.15453463792800903
GCST006612	LDL cholesterol	d9cd7058c2c6b3250b7c3890f7db85b5		3	160368267	ENSG00000186432	KPNA4	0.06258261203765869
GCST006612	LDL cholesterol	c6d35cc7aa7a9094ebb96057df7f7b20		5	52897406	ENSG00000213949	ITGA1	0.9066632390022278
GCST006612	LDL cholesterol	c6d35cc7aa7a9094ebb96057df7f7b20		5	52897406	ENSG00000164171	ITGA2	0.14630088210105896
GCST006612	LDL cholesterol	09cd047a1f8271a0d45a0fc186d93e97		2	62728252	ENSG00000115504	EHBP1	0.8064089417457581
GCST006612	LDL cholesterol	760f2ec3fd96b69177f422880b4fbda4		7	1043282	ENSG00000146540	CHLSN	0.5605611205101013
GCST006612	LDL cholesterol	760f2ec3fd96b69177f422880b4fbda4		7	1043282	ENSG00000164849	GPR146	0.22441299259662628
GCST006612	LDL cholesterol	f15434c13775d6e2bd577c7a9735e8e9		3	51995975	ENSG00000162244	RPL29	0.23974832892417908
GCST006612	LDL cholesterol	0804748a1b7af54eb6cbea7cf003e9c1		8	58479765	ENSG00000167910	CYP7A1	0.7152397036552429
GCST006612	LDL cholesterol	0804748a1b7af54eb6cbea7cf003e9c1		8	58479765	ENSG00000137575	SDCBP	0.21548768877983093
GCST006612	LDL cholesterol	0804748a1b7af54eb6cbea7cf003e9c1		8	58479765	ENSG00000215114	UBXN2B	0.10895027220249176
GCST006612	LDL cholesterol	48fd0207fcd23dab2e9d3566c637605b		3	132469319	ENSG00000138246	DNAJC13	0.9204505681991577
GCST006612	LDL cholesterol	bc28285214f80030e28bc9caa10d2a45		11	118669395	ENSG00000019144	PHLDB1	0.16328343749046326
GCST006612	LDL cholesterol	bc28285214f80030e28bc9caa10d2a45		11	118669395	ENSG00000118094	TREH	0.1556982398033142
GCST006612	LDL cholesterol	ce4d98dc3e39eb6bbd6f77d99f48ec50		1	92671972	ENSG00000067208	EVI5	0.7374646067619324
GCST006612	LDL cholesterol	ce4d98dc3e39eb6bbd6f77d99f48ec50		1	92671972	ENSG00000122406	RPL5	0.1145811602473259
GCST006612	LDL cholesterol	eaa36710f95c269e807d4dc54893949d		19	19283559	ENSG00000105705	SUGP1	0.2810758948326111
GCST006612	LDL cholesterol	eaa36710f95c269e807d4dc54893949d		19	19283559	ENSG00000129933	MAU2	0.22796465456485748
GCST006612	LDL cholesterol	eaa36710f95c269e807d4dc54893949d		19	19283559	ENSG00000213996	TM6SF2	0.07461825758218765
GCST006612	LDL cholesterol	92ed0b06770589d2a0047bb3294af200		10	50814012	ENSG00000148584	A1CF	0.8788008093833923
GCST006612	LDL cholesterol	db8ea3d205dececd01c080f86234d9a9		17	7116978	ENSG00000161944	ASGR2	0.1450875848531723
GCST006612	LDL cholesterol	d5e2129eb8cb83945512de780c908937		3	32500061	ENSG00000091317	CMTM6	0.8462099432945251
GCST006612	LDL cholesterol	06ed6d256f1bfec5c676acdff9c2b005		12	111569952	ENSG00000111252	SH2B3	0.36455267667770386
GCST006612	LDL cholesterol	06ed6d256f1bfec5c676acdff9c2b005		12	111569952	ENSG00000204842	ATXN2	0.12217720597982407
GCST006612	LDL cholesterol	2a8d701024081a7bc98be78d4f3da6d9		6	135097494	ENSG00000112339	HBS1L	0.8209846019744873
GCST006612	LDL cholesterol	2a8d701024081a7bc98be78d4f3da6d9		6	135097494	ENSG00000118513	MYB	0.0674927681684494
GCST006612	LDL cholesterol	2a8d701024081a7bc98be78d4f3da6d9		6	135097494	ENSG00000118514	ALDH8A1	0.06397756934165955
GCST006612	LDL cholesterol	89a4a8f9a990eaaa2d272a0b8d9a6b37		1	107075085	ENSG00000198890	PRMT6	0.7671836018562317
GCST006612	LDL cholesterol	89a4a8f9a990eaaa2d272a0b8d9a6b37		1	107075085	ENSG00000162631	NTNG1	0.08728164434432983
GCST006612	LDL cholesterol	a41f6c61325e1cfea9be8e96114ebb4a		9	19217423	ENSG00000137145	DENND4C	0.21853742003440857
GCST006612	LDL cholesterol	a41f6c61325e1cfea9be8e96114ebb4a		9	19217423	ENSG00000137154	RPS6	0.09414410591125488
GCST006612	LDL cholesterol	84f22f9c7ec7150a92a3f6af915ba13a		17	43797377	ENSG00000161649	CD300LG	0.7434622645378113
GCST006612	LDL cholesterol	84f22f9c7ec7150a92a3f6af915ba13a		17	43797377	ENSG00000231256	CFAP97D1	0.17104968428611755
GCST006612	LDL cholesterol	84f22f9c7ec7150a92a3f6af915ba13a		17	43797377	ENSG00000108861	DUSP3	0.060877565294504166
GCST006612	LDL cholesterol	c690380ae49aa6021311b7b700407d03		8	22080156	ENSG00000158856	DMTN	0.45095038414001465
GCST006612	LDL cholesterol	c690380ae49aa6021311b7b700407d03		8	22080156	ENSG00000158863	FHIP2B	0.08434174209833145
GCST006612	LDL cholesterol	56ad824c39f7e9341e6a7484d61adab4		21	31687518	ENSG00000156304	SCAF4	0.7298102378845215
GCST006612	LDL cholesterol	56ad824c39f7e9341e6a7484d61adab4		21	31687518	ENSG00000142168	SOD1	0.44426262378692627
GCST006612	LDL cholesterol	ecec04ce322ebea4f2864d5f6bf1fe4b		19	48702851	ENSG00000176920	FUT2	0.6037439703941345
GCST006612	LDL cholesterol	ecec04ce322ebea4f2864d5f6bf1fe4b		19	48702851	ENSG00000105538	RASIP1	0.08575811237096786
GCST006612	LDL cholesterol	ecec04ce322ebea4f2864d5f6bf1fe4b		19	48702851	ENSG00000176909	MAMSTR	0.0632883608341217
GCST006612	LDL cholesterol	9e39f168a563bb518dc5dd77b3799583		1	109272630	ENSG00000143126	CELSR2	0.803281307220459
GCST006612	LDL cholesterol	9e39f168a563bb518dc5dd77b3799583		1	109272630	ENSG00000134222	PSRC1	0.10399060696363449
GCST006612	LDL cholesterol	46757033a6554325e937bfd68e518549		17	78396063	ENSG00000087157	PGS1	0.7482243180274963
GCST006612	LDL cholesterol	dfe9cabbd3ff7bb83fbad027351f2476		20	17864040	ENSG00000125871	MGME1	0.4385699927806854
GCST006612	LDL cholesterol	dfe9cabbd3ff7bb83fbad027351f2476		20	17864040	ENSG00000089006	SNX5	0.11326463520526886
GCST006612	LDL cholesterol	2d1d72d30eb52e25b33dc49db034c6f0		7	107499794	ENSG00000164597	COG5	0.5428822040557861
GCST006612	LDL cholesterol	2d1d72d30eb52e25b33dc49db034c6f0		7	107499794	ENSG00000075790	BCAP29	0.13695299625396729
GCST006612	LDL cholesterol	2d1d72d30eb52e25b33dc49db034c6f0		7	107499794	ENSG00000172209	GPR22	0.10118336230516434
GCST006612	LDL cholesterol	2d1d72d30eb52e25b33dc49db034c6f0		7	107499794	ENSG00000105865	DUS4L	0.05097382888197899
GCST006612	LDL cholesterol	d15ba8beb695788d9df63b6db161f30d		8	125466208	ENSG00000173334	TRIB1	0.6969894170761108
GCST006612	LDL cholesterol	406a89d8891dca3175d33c13171e3bf2		13	32466293	ENSG00000244754	N4BP2L2	0.3668839633464813
GCST006612	LDL cholesterol	406a89d8891dca3175d33c13171e3bf2		13	32466293	ENSG00000139597	N4BP2L1	0.2578672766685486
GCST006612	LDL cholesterol	406a89d8891dca3175d33c13171e3bf2		13	32466293	ENSG00000083642	PDS5B	0.23607167601585388
GCST006612	LDL cholesterol	450a3fe85fbcd70b3f55c0ebbd297734		9	133266456	ENSG00000175164	ABO	0.4641793370246887
GCST006612	LDL cholesterol	ac5e024ee867ec170c720c9071040f20		11	116817950	ENSG00000110244	APOA4	0.3292478024959564
GCST006612	LDL cholesterol	ac5e024ee867ec170c720c9071040f20		11	116817950	ENSG00000110245	APOC3	0.30187010765075684
GCST006612	LDL cholesterol	ac5e024ee867ec170c720c9071040f20		11	116817950	ENSG00000118137	APOA1	0.14639456570148468
GCST006612	LDL cholesterol	ac5e024ee867ec170c720c9071040f20		11	116817950	ENSG00000137656	BUD13	0.053890448063611984
GCST006612	LDL cholesterol	d58af9a38e829cefe8bf47ac6a08d6e9		11	61803910	ENSG00000134825	TMEM258	0.4019438326358795
GCST006612	LDL cholesterol	d58af9a38e829cefe8bf47ac6a08d6e9		11	61803910	ENSG00000149485	FADS1	0.39556559920310974
GCST006612	LDL cholesterol	d58af9a38e829cefe8bf47ac6a08d6e9		11	61803910	ENSG00000134824	FADS2	0.37860429286956787
GCST006612	LDL cholesterol	d58af9a38e829cefe8bf47ac6a08d6e9		11	61803910	ENSG00000168496	FEN1	0.1453997790813446
GCST006612	LDL cholesterol	d58af9a38e829cefe8bf47ac6a08d6e9		11	61803910	ENSG00000124920	MYRF	0.07957803457975388
GCST006612	LDL cholesterol	44664d1862e7f028f284012ff1170e0b		11	78265162	ENSG00000033327	GAB2	0.30593231320381165
GCST006612	LDL cholesterol	44664d1862e7f028f284012ff1170e0b		11	78265162	ENSG00000118369	USP35	0.2380353957414627
GCST006612	LDL cholesterol	44664d1862e7f028f284012ff1170e0b		11	78265162	ENSG00000188997	KCTD21	0.0788077786564827
GCST006612	LDL cholesterol	3ec54e7c7ad07a9767e31e32d8335a73		20	40551182	ENSG00000204103	MAFB	0.3122529089450836
GCST006612	LDL cholesterol	15046a0a7c6910a15c0cc3867263b0e9		8	10651291	ENSG00000183638	RP1L1	0.8491647243499756
GCST006612	LDL cholesterol	15046a0a7c6910a15c0cc3867263b0e9		8	10651291	ENSG00000171060	C8orf74	0.058157119899988174
GCST006612	LDL cholesterol	6c5df5db09f7f9526d5cf2ad4649d0d2		8	9323885	ENSG00000173281	PPP1R3B	0.5229524374008179
GCST006612	LDL cholesterol	6c5df5db09f7f9526d5cf2ad4649d0d2		8	9323885	ENSG00000173273	TNKS	0.15800262987613678
GCST006612	LDL cholesterol	a80525cde6c41614f156add85d42e907		2	27518370	ENSG00000084734	GCKR	0.6313727498054504
GCST006612	LDL cholesterol	a80525cde6c41614f156add85d42e907		2	27518370	ENSG00000115226	FNDC4	0.08847524225711823
GCST006612	LDL cholesterol	a80525cde6c41614f156add85d42e907		2	27518370	ENSG00000138085	ATRAID	0.072779580950737
GCST006612	LDL cholesterol	7ced929fd724c26c0fee47cd8acc431c		2	202624734	ENSG00000138439	FAM117B	0.8581473231315613
GCST006612	LDL cholesterol	d0c9a3caa9552bb089524f5202dddc21		18	9522608	ENSG00000017797	RALBP1	0.700128972530365
GCST006612	LDL cholesterol	5f28e8448da8e9fb36021d5f5b3ca810		10	93079967	ENSG00000095596	CYP26A1	0.4936326742172241
GCST006612	LDL cholesterol	5f28e8448da8e9fb36021d5f5b3ca810		10	93079967	ENSG00000187553	CYP26C1	0.31735268235206604
GCST006612	LDL cholesterol	50639c19b37ef6e64f91b382b22d7370		15	57922012	ENSG00000128918	ALDH1A2	0.8032392859458923
GCST006612	LDL cholesterol	0554622de47b92c91cd5867d25714ea1		19	11076648	ENSG00000130164	LDLR	0.6961694359779358
GCST006612	LDL cholesterol	234ee07338a94eb95e51e84e138e7a00		17	28367840	ENSG00000109072	VTN	0.9260815978050232
GCST006612	LDL cholesterol	234ee07338a94eb95e51e84e138e7a00		17	28367840	ENSG00000244045	VMA12	0.2908926010131836
GCST006612	LDL cholesterol	234ee07338a94eb95e51e84e138e7a00		17	28367840	ENSG00000004139	SARM1	0.27594685554504395
GCST006612	LDL cholesterol	234ee07338a94eb95e51e84e138e7a00		17	28367840	ENSG00000274529	SEBOX	0.05181186646223068
GCST006612	LDL cholesterol	a412f3748763eccc1af8838c68126d71		17	4790607	ENSG00000182853	VMO1	0.1259438842535019
GCST006612	LDL cholesterol	a412f3748763eccc1af8838c68126d71		17	4790607	ENSG00000142507	PSMB6	0.1259438842535019
GCST006612	LDL cholesterol	a412f3748763eccc1af8838c68126d71		17	4790607	ENSG00000182327	GLTPD2	0.07380053400993347
GCST006612	LDL cholesterol	92e505eb3e01130aa8877c8477797a30		16	83951171	ENSG00000140961	OSGIN1	0.7454860806465149
GCST006612	LDL cholesterol	92e505eb3e01130aa8877c8477797a30		16	83951171	ENSG00000103154	NECAB2	0.07124164700508118
GCST006612	LDL cholesterol	6fb9706b32563b9d803b5e7a36e7ee53		2	108615932	ENSG00000169756	LIMS1	0.3098265826702118
GCST006612	LDL cholesterol	6fb9706b32563b9d803b5e7a36e7ee53		2	108615932	ENSG00000135968	GCC2	0.19551776349544525
GCST006612	LDL cholesterol	fb552d12b165e972d07ba97251363083		5	132461855	ENSG00000125347	IRF1	0.7577975392341614
GCST006612	LDL cholesterol	8aa3e28f428e6b45e9b3510b192617ea		1	220796686	ENSG00000186205	MTARC1	0.9371272325515747
GCST006612	LDL cholesterol	5d6be97606df36bd9159c403eaf4a971		15	74997381	ENSG00000198794	SCAMP5	0.23550055921077728
GCST006612	LDL cholesterol	5d6be97606df36bd9159c403eaf4a971		15	74997381	ENSG00000178741	COX5A	0.08988512307405472
GCST006612	LDL cholesterol	c23e325c0aa50795c72605c854fc0d60		9	5073770	ENSG00000096968	JAK2	0.8329574465751648
GCST006612	LDL cholesterol	784497e2532f2518b1a11a54ed6c7a52		6	138996690	ENSG00000135597	REPS1	0.811457097530365
GCST006612	LDL cholesterol	c71f50b85ad09c043c66d29d630b71bd		2	233703893	ENSG00000167165	UGT1A6	0.8323185443878174
GCST006612	LDL cholesterol	c71f50b85ad09c043c66d29d630b71bd		2	233703893	ENSG00000244122	UGT1A7	0.37154120206832886
GCST006612	LDL cholesterol	c71f50b85ad09c043c66d29d630b71bd		2	233703893	ENSG00000288705	UGT1A5	0.12646448612213135
GCST006612	LDL cholesterol	c71f50b85ad09c043c66d29d630b71bd		2	233703893	ENSG00000288702	UGT1A3	0.11505398154258728
GCST006612	LDL cholesterol	c71f50b85ad09c043c66d29d630b71bd		2	233703893	ENSG00000241635	UGT1A1	0.09828202426433563
GCST006612	LDL cholesterol	c71f50b85ad09c043c66d29d630b71bd		2	233703893	ENSG00000244474	UGT1A4	0.06488361954689026
